message,Retweets,Favourites,Datetime,Label
6  $          2018    73%  1.5  $,7480,33708,21-08-2019 12:52,Imran Khan
The govt's consistent focus on reducing our external imbalances by reducing imports & increasing exports & remittances are bearing fruit. Current account deficit reduced by more than $6 bn last yr & July this yr deficit is 73% or $1.5 bn lower than July 2018 - a great achievement,8163,32755,21-08-2019 12:17,Imran Khan
,6117,20209,18-08-2019 10:35,Imran Khan
40,6221,21269,18-08-2019 10:35,Imran Khan
/          2       90,10867,40152,18-08-2019 10:35,Imran Khan
-,2086,5378,18-08-2019 10:35,Imran Khan
The Hindu Supremacist Modi Govt poses a threat to Pakistan as well as to the minorities in India & in fact to the very fabric of Nehru & Gandhi's India. To understand the link between Nazi ideology & the ethnic cleansing & genocide ideology of RSS-BJP Founding Fathers just Google,14307,43138,18-08-2019 08:15,Imran Khan
"The World must also seriously consider  the safety & security of India's nuclear arsenal in the control of the fascist, racist Hindu Supremacist Modi Govt. This is an issue that impacts not just the region but the world.",12318,32376,18-08-2019 07:48,Imran Khan
"Already 4m Indian Muslims face detention camps & cancellation of citizenship. World must take note as this genie is out of the bottle & the doctrine of hate & genocide, with RSS goons on the rampage, will spread unless the international community acts now to stop it.",11294,32065,18-08-2019 07:48,Imran Khan
"And the threat also extends to Pakistan, the minorities in India & in fact the very fabric of Nehru & Gandhi's India. One can simply Google to understand the link between the Nazi ideology & ethnic cleansing & genocide ideology of the RSS-BJP Founding Fathers.",5414,13075,18-08-2019 07:48,Imran Khan
"India has been captured, as Germany had been captured by Nazis, by a fascist, racist Hindu Supremacist ideology & leadership.This threatens 9m Kashmiris under siege in IOK for over 2 weeks which shd have sent alarm bells ringing across the world with UN Observers being sent there",18577,53926,18-08-2019 07:48,Imran Khan
,5794,23961,17-08-2019 09:15,Imran Khan
50                             11,8701,38800,17-08-2019 09:15,Imran Khan
I welcome the UNSC meeting to discuss the serious situation in Occupied Jammu & Kashmir. It is for the first time in over 50 yrs that the worlds highest diplomatic forum has taken up this issue. There are 11 UNSC resolutions reiterating the Kashmiris right to self determination.,12573,47135,17-08-2019 07:42,Imran Khan
And the UNSC meeting was a reaffirmation of these resolutions. Therefore addressing the suffering of the Kashmiri people & ensuring resolution of the dispute is the responsibility of this world body.,8154,28528,17-08-2019 07:42,Imran Khan
,8298,32125,16-08-2019 07:03,Imran Khan
That is why the Hindutva exclusivist creed of the Modi-led Govt with its fascist tactics in IOK will fail miserably in its attempt to smother the Kashmiri liberation struggle.,10810,35232,16-08-2019 06:21,Imran Khan
"The fascist, Hindu Supremacist Modi Govt should know that while armies, militants & terrorists can be defeated by superior forces; history tells us that when a nation unites in a freedom struggle & does not fear death, no force can stop it from achieving its goal.",18028,59597,16-08-2019 06:21,Imran Khan
,9342,29148,15-08-2019 05:38,Imran Khan
"12    ,",11544,38962,15-08-2019 05:38,Imran Khan
"Will world silently witness another Srebrenica-type massacre & ethnic cleansing of Muslims in IOK? I want to warn international community if it allows this to happen, it will have severe repercussions & reactions in the Muslim world setting off radicalisation & cycles of violence",15193,39874,15-08-2019 04:56,Imran Khan
"In IOK, 12 days of curfew, presence of extra troops in an already heavily militarized occupied territory, sending in of RSS goons, complete communication blackout; with the example of Modi's earlier ethnic cleansing of Muslims in Gujarat",19618,57013,15-08-2019 04:56,Imran Khan
https://t.co/Xn1ctcBrWJ,10336,33305,14-08-2019 16:35,Imran Khan
"This is the RSS ideology that threatens not just Kashmiris or Pakistan or even just Indian Muslims, Christians & Dalits but India itself as envisaged by its Founding Fathers.  https://t.co/Xn1ctcBrWJ",19146,50591,14-08-2019 12:20,Imran Khan
I have directed all MNAs/MPAs of Karachi to be in their constituencies throughout Eid & Independence Day holidays & provide all assistance to the ppl. The Federal Govt is drafting a comprehensive package to end the decades of neglect & suffering of the ppl of this gt metropolis.,8468,43651,12-08-2019 6:06,Imran Khan
:,5881,22203,11-08-2019 9:11,Imran Khan
"The curfew, crackdown & impending genocide of Kashmiris in IOK is unfolding exactly acc to RSS ideology inspired by Nazi ideology. Attempt is to change demography of Kashmir through ethnic cleansing. Question is: Will the world watch & appease as they did Hitler at Munich?",17037,51091,11-08-2019 7:58,Imran Khan
"I am afraid this RSS ideology of Hindu Supremacy, like the Nazi Aryan Supremacy, will not stop in IOK; instead it will lead to suppression of Muslims in India & eventually lead to targeting of Pakistan. The Hindu Supremacists version of Hitler's Lebensraum.",12385,35976,11-08-2019 7:58,Imran Khan
:                                    https://t.co/hvm679gufi,7487,26192,08-08-2019 14:43,Imran Khan
-,10132,43337,08-08-2019 14:43,Imran Khan
"What should be obvious is the int community will be witnessing the genocide of the Kashmiris in IOK. Question is: Will we watch another appeasement of fascism, this time in the garb of BJP govt, or will the int community have the moral courage to stop this from happening?",9615,28593,08-08-2019 13:58,Imran Khan
"The whole world is waiting to see what happens to oppressed Kashmiris in IOK when curfew is lifted. Does the BJP govt think by using greater military force against Kashmiris in IOK, it will stop the freedom movement? Chances are it will gain momentum.",14902,50727,08-08-2019 13:58,Imran Khan
1983,11215,48073,04-08-2019 12:07,Imran Khan
President Trump offered to mediate on Kashmir. This is the time to do so as situation deteriorates there and along the LOC with new aggressive actions being taken by Indian occupation forces. This has the potential to blow up into a regional crisis.,10804,34995,04-08-2019 10:34,Imran Khan
It is time to end the long night of suffering for the people of Occupied Kashmir. They must be allowed to exercise their right to self determination according to UN SC resolutions.The only road to peace & security in South Asia runs through a peaceful & just settlement of Kashmir,12069,37179,04-08-2019 10:34,Imran Khan
I condemn India's attack across LOC on innocent civilians & it's use of cluster munitions in violation of int humanitarian law and it's own commitments under the 1983 Convention on Certain Conventional Weapons. UNSC must take note of this international threat to peace & security.,17919,59239,04-08-2019 10:34,Imran Khan
/    10,9122,50304,27-07-2019 12:06,Imran Khan
"I salute our armed forces personnel who continue to lay down their lives fighting terrorists to keep the nation safe. My condolences & prayers go to the families of the10 brave soldiers, including an officer, martyred fighting terrorists in North Waziristan & Balochistan today.",11044,59648,27-07-2019 11:41,Imran Khan
Congratulations Rt. Hon. Boris Johnson MP on your election as Conservative Party Leader & on assuming PM's Office. I am confident that under your leadership not only the UK & its people will prosper but our bilateral relations will also flourish.I look forward to working with you,7024,43549,24-07-2019 17:10,Imran Khan
"I would like to thank the volunteers of PTI social media who worked round the clock during our US visit,  giving timely updates and capturing the positive mood in DC.",9096,55426,24-07-2019 15:36,Imran Khan
https://t.co/uEXFo1dP9F,6330,38988,23-07-2019 13:41,Imran Khan
3,6302,31251,23-07-2019 13:41,Imran Khan
"2          ""  """,4253,23400,23-07-2019 13:40,Imran Khan
1,6592,42010,23-07-2019 13:40,Imran Khan
I want to thank the Pakistani-American community for showing up in such large numbers at Capital One Arena in DC to show support and welcome me on my first visit to the USA as PM of Pakistan. https://t.co/pEngooVLZ3,8572,43148,23-07-2019 12:33,Imran Khan
3. Surprised by reaction of India to Pres Trump's offer of mediation to bring Pak & India to dialogue table for resolving Kashmir conflict which has held subcontinent hostage for 70 yrs. Generations of Kashmiris have suffered & are suffering daily and need conflict resolution.,9976,41458,23-07-2019 12:32,Imran Khan
2. I want to assure President Trump Pakistan will do everything within its power to facilitate the Afghan peace process. The world owes it to the long-suffering Afghan people to bring about peace after 4 decades of conflict.,7615,35167,23-07-2019 12:26,Imran Khan
"1. I want to thank President Trump for his warm & gracious hospitality, his understanding of Pakistan's point of view & his wonderful way of putting our entire delegation at ease. Appreciate the President taking out time to show us the historic White House private quarters.",10340,54838,23-07-2019 12:25,Imran Khan
"I want to congratulate the SKMT leadership, doctors and staff for getting accreditation from Joint Commission International. This means the hospital is of international standard as certified by JCI after a rigorous audit conducted over several days https://t.co/KZ59l7i4FF",5887,34829,19-07-2019 19:34,Imran Khan
,7586,42901,18-07-2019 04:19,Imran Khan
"Appreciate ICJs decision not to acquit, release & return Commander Kulbhushan Jadhav to India. He is guilty of crimes against the people of Pakistan. Pakistan shall proceed further as per law.",10582,51559,18-07-2019 03:50,Imran Khan
/                                               ( ),8918,46159,13-07-2019 13:23,Imran Khan
The poverty of the people is the actual cause of the devastation and ruination of a country; & the main cause of the poverty of the people is the desire of its ruler and officers to amass wealth and possessions whether by fair or foul means Hazrat Ali (AS)  Nahjul Balagha,7552,34488,13-07-2019 11:39,Imran Khan
""" ""                                     https://t.co/8pGqSZLrkw",5754,23984,13-07-2019 08:18,Imran Khan
"In a similar vein to the ""Sicilian mafia"", the Pakistani mafia uses tactics of bribe, threat, blackmail and begging to pressurise state institutions and judiciary in order to protect their billions of money laundering stashed abroad.  https://t.co/DcXWNZntq3",8163,27643,13-07-2019 05:27,Imran Khan
9.7%            21.8  $           2.9%,3842,21844,11-07-2019 10:38,Imran Khan
I want to thank our overseas workers for sending more remittances through banking channels. Remittances for the past fiscal year came in much higher at 9.7 % annual growth & totalled $21.8 bn for the yr. This was much higher than the previous year when they grew only 2.9 %,4230,23606,11-07-2019 10:18,Imran Khan
/,2888,19189,11-07-2019 5:52,Imran Khan
Saddened to learn of train accident in Sadiqabad. My condolences to the victims families and prayers for the speedy recovery of the injured. Have asked Railways Minister to take emergency steps to counter decades of neglect of railway infrastructure & ensure safety standards.,3811,25621,11-07-2019 4:05,Imran Khan
"""   ""                                     #Ehsaas",4688,27977,07-07-2019 15:36,Imran Khan
"I was delighted to launch the National Poverty Graduation Initiative, one of the several initiatives we will launch under @Ehsaas_Pk this year. The key aim is to lift millions out of poverty by targeting funds, resources and skills training at the most marginalized communities.",4692,25088,07-07-2019 14:18,Imran Khan
This is so apt for the Pakistan inherited by the PTI govt. https://t.co/MHUJWkDUMQ,7186,28301,07-07-2019 12:51,Imran Khan
"""  ""              ""   ""         https://t.co/HS0DhpBbMY",4103,23455,05-07-2019 7:25,Imran Khan
PTI was the first party and govt that understood this phenomenon in Pakistan and started the billion tree tsunami. For the future of our generations we must all strive to make our 10 billion tree tsunami a success  https://t.co/ghAMDtKhfl,5001,23459,05-07-2019 6:57,Imran Khan
8   ( 2018   2019 )      ( 2017   2018)    106          75%,3903,24943,03-07-2019 15:29,Imran Khan
Appreciate the excellent performance of Ministry of Power: Generated additional revenue of Rs.106 bn in 8 months (Oct 2018 - May 2019) compared to same period last year (Oct 2017 - May 2018). 75% of this revenue increase is the result of the Anti Theft Drive. PTI Govt delivering.,3317,18100,03-07-2019 14:38,Imran Khan
2/2                            18000           2.3,3131,16321,03-07-2019 12:54,Imran Khan
.    22550       2                                3000    1/2,4635,28708,03-07-2019 12:54,Imran Khan
"2/2 As committed, our govt is cracking down on gas theft. Since mid April, the campaign against gas theft has traced and disconnected over 18,000 illegal connections, with a monetary value of over Rs 2.3 billion.",3049,14423,03-07-2019 12:28,Imran Khan
"I want to congratulate the Power Ministry. On 2nd July we reached the highest ever power supply at 22,550 MW in national grid with the system running smoothly across the country; almost 3000MW more than the max supply last summer. 1/2",5625,36740,03-07-2019 12:26,Imran Khan
,5589,47950,29-06-2019 17:40,Imran Khan
Congratulations to the Pakistan team for keeping their nerve under pressure and in the end winning against Afghanistan. I also especially want to congratulate Afghanistan for the grit and determination with which they played against Pakistan today & against India earlier.,13991,95892,29-06-2019 17:07,Imran Khan
,7495,57522,26-06-2019 18:56,Imran Khan
"Congratulations to our cricket team for a great comeback. Congratulations especially go to Babar, Haris and Shaheen for their brilliant performances.",16191,109211,26-06-2019 18:46,Imran Khan
"Those who discover and get to understand the wisdom of Gibran's words, cited below, get to live a life of contentment. https://t.co/BdmIdqGxeL",7929,39366,19-06-2019 09:40,Imran Khan
8     6  80                     https://t.co/FHwljiuaUQ,3439,18269,18-06-2019 18:58,Imran Khan
"8      10  (1  )  ""  """,4907,32306,18-06-2019 18:58,Imran Khan
"On the resolution front: a total of 6,80,000 complaints were resolved out of 8 lakh complaints registered so far. This is true citizen's empowerment. This is Naya Pakistan! #PMHazirHai https://t.co/di8fzu12hu",3741,17136,18-06-2019 18:31,Imran Khan
As of today over 1 million citizens have registered at Pakistan Citizens Portal within 8 months of its launch. This is  testament of peoples trust in the system & its effectiveness. No political or bureaucratic reference required to reach out to a public office. #PMHazirHai,5400,30836,18-06-2019 18:29,Imran Khan
"5/5 3. Finally, even though India may be the favourites, banish all fear of losing. Just give your best and fight till the last ball. Then accept whatever the result like true sportsmen. The nation's prayers are with all of you. Good Luck.",7391,49028,16-06-2019 06:57,Imran Khan
"4/5 1. In order ro have a winning offensive strategy Sarfaraz must go in with specialist batsmen and bowlers because ""Raillu Kattas"" rarely perform under pressure - especially the intense kind that will be generated today. 2. Unless pitch is damp, Sarfaraz must win the toss & bat",6336,36196,16-06-2019 06:55,Imran Khan
3/5 All fears of losing should be banished from the mind as the mind can only process one thought at a time. Fear  of losing leads to a negative & defensive strategy & crucially mistakes by opponents are not pounced upon. So here are my suggestions for Sarfaraz & Pakistan team:,4614,23491,16-06-2019 06:54,Imran Khan
"2/5 Today, given the intensity of the match, both teams will come under great mental pressure and the power of the mind will decide the outcome of the match today. In Sarfaraz we are fortunate to have a bold captain & today he will have to be at his daring best.",4806,27316,16-06-2019 06:53,Imran Khan
When I started my cricketing career I assumed success was 70% talent & 30% mind. By the time I finished playing cricket I felt it was 50-50 ratio. But now I tend to agree with my friend Gavaskar it's 60% mental strength & 40 % talent. Today role of mind will be more than 60% 1/5,9508,66573,16-06-2019 06:52,Imran Khan
2/2 https://t.co/LsncnKUPz6,6685,27225,12-06-2019 7:35,Imran Khan
"""""                   1/2",7808,39071,12-06-2019 7:35,Imran Khan
"Time for nation to stop glorifying money launderers who have damaged our nation & impoverished our ppl & now seeking refuge behind ""democracy"". No protocol shd be extended to them. Where are plunderers of public wealth given such special treatment? Time to treat them as criminals",12538,51585,12-06-2019 6:47,Imran Khan
https://t.co/Ylwn1UEpuE,4453,23620,07-06-2019 18:24,Imran Khan
(  )     3   1,5719,36654,07-06-2019 18:23,Imran Khan
I salute the sacrifices & bravery of our soldiers in keeping us safe. The whole nation stands behind them. https://t.co/uYpmfY2iHP,4285,21261,07-06-2019 17:30,Imran Khan
"Deeply saddened to learn of the shahadat of 3 officers &1 soldier from a terrorist-planted IED blast in Kharkamar, N.Waziristan. My condolences to the families of the Shuhada & prayers for recovery of the injured.",5443,28669,07-06-2019 17:24,Imran Khan
,4383,31144,05-06-2019 7:52,Imran Khan
,5492,39916,05-06-2019 7:51,Imran Khan
Want to congratulate Omar Ayub and Secretary Irfan Ali for the way they went after the electricity thieves and worked on removing bottlenecks in the electricity transmission - thus allowing Pakistanis the luxury of having the first load shedding-free Ramazan.,4716,30715,05-06-2019 5:28,Imran Khan
Eid Mubarak to my Pakistanis. Wishing you all a Happy Eid. Let us all resolve to to stand up as a united nation to overcome our economic crisis while putting the least amount of burden on the poorer section of our society.,8711,58769,05-06-2019 5:17,Imran Khan
"I appreciate Pak Mil's unprecedented voluntary initiative of stringent cuts in their defence expenditures for next FY bec of our critical financial situation, despite multiple security challenges. My govt will spend this money saved on dev of merged tribal areas & Balochistan.",7800,38701,04-06-2019 18:07,Imran Khan
,5164,38167,03-06-2019 18:36,Imran Khan
"Congratulations to the Pakistan cricket team for a great win and for coming back into form after a poor start in the warm up matches and the first WC match. You have the talent, all you need is the self belief that you can go all the way.",16488,95191,03-06-2019 17:51,Imran Khan
"My advice to the Pakistan team today is what I would tell my players before a match: Give your 100 percent, fight to the last ball and never let the fear of losing enter your mind, influence your strategy or play. Pakistans prayers and support are with Sarfaraz and the team.",10171,70789,31-05-2019 09:44,Imran Khan
24,5383,41134,24-05-2019 20:04,Imran Khan
5    41   30    10   20,2957,16811,24-05-2019 19:53,Imran Khan
120                38     26                  100       https://t.co/1vZF3kX0Fh,3203,15176,24-05-2019 19:49,Imran Khan
8      81      80,4737,27435,24-05-2019 19:49,Imran Khan
I want to thank the people of Karachi for donating Rs 24 crore at the Friday fundraising Iftar for SKMTH. The generosity of my people never ceases to amaze me. InshaAllah will soon collect money to pay off our debts.,3658,23193,24-05-2019 19:47,Imran Khan
"Dependence on imported fuels to be brought down from 41 percent to 30 percent in 5 years and less than 20 percent in 10 years using hydel, renewables and local fuels like Thar coal.",4203,22291,24-05-2019 16:04,Imran Khan
Another Rs 120 bn to be recovered next year; flow of circular debt already reduced from Rs 38 bn per month to Rs  26 bn and to be zero by next December. Rs 100 bn Additional will be recovered from old receivables. https://t.co/GUIZZKMuz4,4257,18569,24-05-2019 16:03,Imran Khan
I congratulate Omar Ayub and his whole team. Rs 81 billion increase in collection in 8 months. Rs 58 billion from theft control. 80 percent of the country free from load shedding. Zero load shedding at sehr and iftar. Keep up the good work. This is Naya Pakistan.,10098,50365,24-05-2019 16:00,Imran Khan
,3821,31087,23-05-2019 12:18,Imran Khan
"I congratulate Prime Minister Modi on the electoral victory of BJP and allies. Look forward to working with him for peace, progress and prosperity in South Asia",12497,85849,23-05-2019 11:45,Imran Khan
"I hope this Ramazan people will open their hearts & donate generously to SKMTH for treatment of poor cancer patients. Challenge for SKMTH now even greater as poor patients provided treatment at SKMTH in Lhr & Peshawar, Construction of Pak's 3rd & biggest SKMTH in Khi also ongoing",5148,33589,21-05-2019 10:56,Imran Khan
20         /,3764,28668,20-05-2019 09:02,Imran Khan
,4899,38770,20-05-2019 09:00,Imran Khan
I want to thank the donors at the Islamabad SKMTH fundraising iftar last night where  a record Rs 20 crores was raised.,3084,20786,20-05-2019 08:45,Imran Khan
My condolences and prayers go to Asif Ali & his family on the passing of his daughter from cancer. May Allah give them strength to bear such a precious loss.,5474,43585,20-05-2019 08:42,Imran Khan
20                                 ()            https://t.co/3KT2RXkxf3,5432,32746,11-05-2019 22:12,Imran Khan
I want to thank all the donors at SKMT fundraising iftar for breaking all previous records and donating Rs 20 crores tonight. All zakat donations are only used to give free treatment to the cancer patients.,6454,41431,11-05-2019 18:33,Imran Khan
,4779,35767,08-05-2019 8:21,Imran Khan
Strongly condemn the terror blast outside Data Darbar this morning. Have asked Punjab govt to provide all assistance to the injured & families of victims.,4118,24639,08-05-2019 8:03,Imran Khan
4,7827,46148,04-05-2019 17:24,Imran Khan
Today 4th May is the death anniversary of Tipu Sultan - a man I admire because he preferred freedom and died fighting for it rather than live a life of enslavement.,10145,54657,04-05-2019 16:50,Imran Khan
: https://t.co/lToeVPqsAZ,7674,34445,03-05-2019 5:14,Imran Khan
For those who keep spreading fake news: https://t.co/e2ccNIKrTn,9453,39485,03-05-2019 4:12,Imran Khan
,5405,31299,02-05-2019 5:20,Imran Khan
My condolences & prayers go to the families of our 3 soldiers martyred while repulsing condemnable terrorist attack in Alwara area of N Waziristan. We salute the bravery & sacrifices of our soldiers in combating terrorists.,5731,33810,02-05-2019 4:01,Imran Khan
https://t.co/Nf23SCHCR8,3995,21252,25-04-2019 09:23,Imran Khan
15                                 7        https://t.co/ksJ4R7IkfA,2846,12899,25-04-2019 09:22,Imran Khan
23                    3,4271,23396,25-04-2019 09:22,Imran Khan
"3/3 And now we have entered the final phase: to build Pakistan on the principles of Riyasat-i-Madina -  a society based on justice, compassion and the dignity of our human beings.",4285,21867,25-04-2019 08:24,Imran Khan
2/3 It took 15 years in the  political wilderness before my message penetrated amongst the masses. It took another 7 years to convert our movement into a party capable of fighting elections.,3249,13826,25-04-2019 08:24,Imran Khan
Today is PTI's 23rd Anniv. Our struggle has been the greatest of any party since Independence & gone thru 3 phases: 1st phase was mobilising ppl on our msg for change; to fight corrupt status quo & make ppl aware that a nation only progresses by developing its Human Resources 1/3,5381,25321,25-04-2019 08:23,Imran Khan
Strongly condemn the horrific terrorist attack in Sri Lanka on Easter Sunday  resulting in precious lives lost & hundreds injured. My profound condolences go to our Sri Lankan brethren. Pakistan stands in complete solidarity with Sri Lanka in their hour of grief.,11012,50701,21-04-2019 07:56,Imran Khan
Wishing all our Christian citizens a happy Easter.,3497,30633,21-04-2019 02:36,Imran Khan
2020                 https://t.co/b0nKUqL8rl,3373,19379,19-04-2019 17:10,Imran Khan
4-D       https://t.co/h08TTZQ5YN,2097,10760,19-04-2019 17:09,Imran Khan
Am so proud that this is the best facility with latest equipment in Pak north of Lahore. Patients from Afghanistan also coming here for treatment. This marks completion of 2nd phase of SKMCH & Research Centre. 3rd phase work ongoing to provide surgical services by 2020 InshaAllah https://t.co/aCS8i0KPA7,3502,17964,19-04-2019 14:55,Imran Khan
"Today I inaugurated the new Dept of Clinical & Radiation Oncology at SKMCH & Research Centre, Peshawar. It is  equipped with two state-of-the-art, high energy Varian linear accelerators & a dedicated 4-D CT simulator. https://t.co/gz7C7TSeKj",2846,13204,19-04-2019 14:42,Imran Khan
(         )          https://t.co/ICTvt8YZQP,5313,22985,14-04-2019 12:42,Imran Khan
The truth of this saying is reflected clearly in the way money launderers are treated and the way they behave with indignation when questioned. https://t.co/6rGkKuhZch,6686,26822,14-04-2019 10:31,Imran Khan
Deeply saddened & have strongly condemned the terrorist attack in Hazarganji market area of Quetta targeting our innocent people. I have asked for an immediate inquiry & increased security for the ppl. Prayers go to the families of the victims & for early recovery of the injured.,4148,20402,12-04-2019 9:58,Imran Khan
11.28                  :             :,4735,25503,12-04-2019 5:37,Imran Khan
"CDA's biggest plots' auction results in highest ever return for CDA - Rs 11.28 bn. This highlights 2 imp facts: One, it is a vote of confidence in future of Pakistan's economy; two, it reveals how much money has been lost in the past because of non-tranparent, corrupt practices.",3957,18837,12-04-2019 4:22,Imran Khan
/,7831,36962,09-04-2019 5:35,Imran Khan
"When ldrs in Israel & India show a moral bankruptcy in their readiness to annex occupied West Bank & IOK in defiance of int law, UNSC resolutions & their own Constitution for votes, don't their ppl feel a sense of outrage & wonder how far they will go simply to win an election?",9547,35453,09-04-2019 4:11,Imran Khan
'''               4   115                         https://t.co/Ue20Gaw3aC,3917,21273,08-04-2019 12:51,Imran Khan
"I am pleased to release my policy statement on #Ehsaas, my priority poverty reduction programme with its 4 focus areas and 115 policy actions to reduce inequality, invest in people, and uplift lagging districts https://t.co/Ue20Gaw3aC",3341,16133,08-04-2019 12:25,Imran Khan
,4440,33771,07-04-2019 14:01,Imran Khan
Our prayers go to the people of Iran as they deal with unprecedented flooding. We stand ready to provide any humanitarian assistance required.,4735,26880,07-04-2019 13:34,Imran Khan
":   ""                  """,12436,62605,06-04-2019 16:18,Imran Khan
"Our Prophet PBUH said: ""Many nations before you were destroyed where there was one law for the powerful and another for the weak.",14351,57444,06-04-2019 14:24,Imran Khan
F-16      F-16,5200,26992,06-04-2019 8:39,Imran Khan
The truth always prevails and is always the best policy. BJP's attempt to win elections through whipping up war hysteria and false claims of downing a Pak F 16 has backfired with US Defence officials also confirming that no F16 was missing from Pakistan's fleet.,8372,32693,06-04-2019 7:59,Imran Khan
Our prov & fed elected reps must visit Panah Gahs in their areas & share a meal with the people using them. This will sensitise them to issues faced by the bottom tier of our society. In the coming months I will personally monitor effectiveness of our poverty alleviation jihad,4014,17606,06-04-2019 7:51,Imran Khan
/,3149,21972,02-04-2019 8:24,Imran Khan
Today on #WorldAutismAwarenessDay there is global recognition not only of Autism but also the immense potential of persons with Autism. I want to assure parents & teachers we will have a policy that ensures welfare of persons with Autism & allows them to realise their potential.,4683,24503,02-04-2019 7:03,Imran Khan
,4114,33381,01-04-2019 7:32,Imran Khan
I am delighted to congratulate friend of Pakistan Recep Tayyip Erdogan on another important victory in the Turkish local elections. The people of Pakistan wish him many more successes.,6622,48703,01-04-2019 6:39,Imran Khan
6,3917,26668,31-03-2019 05:33,Imran Khan
Terrible loss of young lives in the accident in Bhakkar which killed 6 girls returning from school & their rickshaw driver. My prayers & condolences go to the families of the victims.,4398,31760,31-03-2019 05:21,Imran Khan
(       )                             3-G               3-G,5040,35855,25-03-2019 08:39,Imran Khan
Another commitment fulfilled to bring what was FATA into the mainstream. Last Friday in the jalsa I had promised the people of Bajaur 3 G service. Now  3 G  service has been launched in Tehsil Khawar in Bajaur.,5325,35291,25-03-2019 08:16,Imran Khan
""" ""                                        https://t.co/ys41bFwrZQ",3386,18613,22-03-2019 18:42,Imran Khan
https://t.co/haVWf4pZlF,3484,18550,22-03-2019 18:41,Imran Khan
"I welcome PM Modi's message to our people. As we celebrate Pakistan Day I  believe it is time to begin a comprehensive dialogue with India to address & resolve all issues, esp the central issue of Kashmir, & forge a new relationship based on peace & prosperity for all our people.",10196,53127,22-03-2019 17:29,Imran Khan
